x,RS p_break/nt=1.0e-03 p_sym=1.0e-03,x,RS p_break/nt=5.0e-04 p_sym=1.0e-03,x,RS p_break/nt=1.0e-04 p_sym=1.0e-03
50,0.0673202614379085,50,0.0718954248366013,50,0.07712418300653595
70,0.09134948096885813,70,0.09873125720876585,70,0.10795847750865052
90,0.03351158645276292,90,0.0374331550802139,90,0.04135472370766488
110,0.1568627450980392,110,0.17777777777777778,110,0.20043572984749455
130,0.23455882352941176,130,0.2696078431372549,130,0.3073529411764706
150,0.24631690514043456,150,0.2908320084790673,150,0.33831478537360893
170,0.2838468720821662,170,0.34061624649859945,170,0.4009337068160598
190,0.3043804755944931,190,0.3724655819774718,190,0.4485607008760951
210,0.29728506787330317,210,0.37058823529411766,210,0.45610859728506786
230,0.3082215342277262,230,0.39628482972136225,230,0.4887512899896801
250,0.3135989879822897,250,0.41189120809614166,250,0.5148640101201771
270,0.31466198419666375,270,0.4228270412642669,270,0.5408252853380158
290,0.3123093681917211,290,0.4300653594771242,290,0.5580610021786493
310,0.29539088362617777,310,0.4176215940921823,310,0.5551311433664374
330,0.2893352462936394,330,0.42085126733620276,330,0.5681492109038737
350,0.2812711291413117,350,0.427315753887762,350,0.5787694388100068
370,0.27152600170502983,370,0.42668371696504687,370,0.592924126172208
390,0.26601980998585,390,0.42449969678593086,390,0.5999595714574489
410,0.24698193002691274,410,0.41537870049980774,410,0.5950019223375624
430,0.24013194062671797,430,0.41165475536008794,430,0.600329851566795
450,0.22668067226890756,450,0.4068627450980392,450,0.6102941176470589
470,0.21826713591419475,470,0.40703871292106586,470,0.6135076252723312
490,0.20327868852459016,490,0.40057859209257474,490,0.6217936354869816
510,0.19366990890844527,510,0.39944418712366836,510,0.6233750192990583
530,0.1800356506238859,530,0.38407605466428996,530,0.6181224004753416
550,0.16384714469729497,550,0.3823100042936883,550,0.618978102189781
570,0.15327257663628832,570,0.3739850869925435,570,0.6253521126760564
590,0.14235027344271042,590,0.3713485394157663,590,0.6251033746832066
610,0.13111455108359132,610,0.3621259029927761,610,0.6305985552115583
630,0.11959535406519296,630,0.35878606219557885,630,0.6294492319220681
650,0.10781893004115227,650,0.3551682401355604,650,0.6342290002420722
670,0.0943994364212751,670,0.33983797111659036,670,0.6230362803804156
690,0.08239854081167351,690,0.3359325125398997,690,0.6274965800273598
710,0.07018943170488534,710,0.3254237288135593,710,0.6317048853439681
730,0.05778926955397544,730,0.3210514975220858,730,0.6292609351432881
750,0.0516724336793541,750,0.3164936562860438,750,0.6329873125720876
770,0.03897058823529412,770,0.3052696078431373,770,0.6300245098039216
790,0.03264656116253608,790,0.30034836269533194,790,0.6333432865531999
810,0.019685497961560862,810,0.2952824694234129,810,0.6299359347699476
830,0.013034005872880554,830,0.2802311262669319,830,0.6256322818982666
 , ,850,0.2750277469478357,850,0.6286348501664817
 , ,870,0.26970271979759647,870,0.624920936116382
 , ,890,0.26426426426426425,890,0.6276276276276276
 , ,910,0.25208603265094587,910,0.6235812386628661
 , ,930,0.24641649763353618,930,0.6260311020960109
 , ,950,0.24065524944154879,950,0.621692727724001
 , ,970,0.23480797277588722,970,0.6239183276616431
 , ,990,0.22887989203778678,990,0.626053822338652
 , ,1010,0.21413009648303766,1010,0.6156240273887332
